"tweet_id","dataset","major","minor","tokens_n"
"834581365794312192","legislators","13","1399","17"
"931307902073229317","legislators","12","1207","23"
"943286646216249344","legislators","20","2031","15"
"999715987619565568","legislators","1","105","11"
"749405021171625985","legislators","21","2104","14"
"2023432292","legislators","20","2030","19"
"345222822072823811","legislators","7","707","19"
"656973059673329665","legislators","9","900","12"
"867483374809751552","legislators","7","704","18"
"575029951973474305","legislators","24","2400","19"
"453493917808607232","legislators","7","709","21"
"831623747597697025","legislators","7","704","20"
"738095231632068608","legislators","7","705","14"
"846855944252248064","legislators","20","2000","20"
"748218291223732225","legislators","10","1099","22"
"716032333229457408","legislators","12","1299","17"
"212265276174110720","legislators","3","342","15"
"637687626095443968","legislators","13","1302","23"
"610814625127383041","legislators","3","342","15"
"715330818021806081","legislators","3","343","22"
"348207027828424704","legislators","3","399","23"
"547432998166347776","legislators","3","342","24"
"855569671931559938","legislators","1","107","25"
"720263200868950016","legislators","3","342","9"
"975740050095865856","legislators","3","342","39"
"983887237673664512","legislators","3","333","41"
"601854719053537280","legislators","12","1205","19"
"487640719092625409","legislators","1","105","21"
"844593694602866690","legislators","3","301","22"
"438758249534611456","legislators","6","601","18"
"585198356017721344","legislators","3","300","20"
"593439573536997376","legislators","3","300","15"
"798959453567647744","legislators","20","2002","19"
"690557745016078336","legislators","13","1304","20"
"869752276335730689","legislators","13","1308","24"
"748593179134464005","legislators","13","1304","16"
"976809240034795520","legislators","4","405","20"
"961491011632418816","legislators","13","1399","15"
"499336001655803905","legislators","7","701","24"
"910664682268233728","legislators","14","1409","20"
"1001959256000794626","legislators","2","202","20"
"996490387580751877","legislators","13","1302","50"
"157902890969743360","legislators","16","1608","14"
"852631942230974464","legislators","6","602","15"
"556103621990158336","legislators","20","2012","21"
"994679492017876992","legislators","25","2502","21"
"960984018979344386","legislators","20","2012","30"
"918584275200552961","legislators","20","2031","9"
"61126760489689088","legislators","20","2031","5"
"686588806951211008","legislators","10","1099","12"
"826266693123006465","legislators","20","2031","14"
"311533341172199425","legislators","15","1523","22"
"702928803904012293","legislators","2","202","18"
"696373951203831808","legislators","3","302","18"
"436997791856869376","legislators","7","798","17"
"728301585286213632","legislators","4","400","16"
"338036270393618433","legislators","10","1002","22"
"699627032506982402","legislators","2","202","10"
"856947888819187713","legislators","4","405","13"
"205398367902236672","legislators","7","707","25"
"565176141993230336","legislators","20","2031","16"
"58274780641624064","legislators","20","2031","21"
"542419036022136835","legislators","15","1523","16"
"763845450277396480","legislators","20","2031","19"
"605802180570783744","legislators","4","403","10"
"587692424765579268","legislators","3","399","22"
"844673508370132992","legislators","2","206","22"
"819667490469019649","legislators","20","2031","12"
"879081533776068609","legislators","3","301","21"
"752662645971439616","legislators","2","202","21"
"306577275984429058","legislators","20","2031","11"
"860422350516264960","legislators","1","105","11"
"156752483195170817","legislators","19","1921","17"
"866704656923205633","legislators","14","1407","22"
"941523781385940993","legislators","10","1005","12"
"591693516448772096","legislators","3","325","15"
"555034629032644608","legislators","20","2031","20"
"994288777270124548","legislators","20","2031","35"
"316192778155593730","legislators","10","1002","20"
"866036662572154880","legislators","24","2400","22"
"860479734047801344","legislators","2","200","25"
"324743514086846464","legislators","3","333","20"
"638469825971494912","legislators","12","1203","16"
"967139484159660034","legislators","25","2500","51"
"426750749301673984","legislators","15","1523","23"
"958768595873517568","legislators","2","202","25"
"81458253799751681","legislators","1","103","14"
"809491430393704448","legislators","5","503","20"
"461182731569741824","legislators","7","709","20"
"595642193932582914","legislators","5","505","24"
"841285548706783234","legislators","10","1099","23"
"710894825256562688","legislators","12","1227","22"
"918336077978468352","legislators","10","1000","8"
"759239173270298625","legislators","6","601","24"
"426330586060693504","legislators","16","1600","19"
"722481681949532160","legislators","1","105","22"
"667066513824874496","legislators","12","1202","14"
"827272026205286400","legislators","2","202","20"
"48117305971982337","legislators","12","1211","15"
"786891180847996928","legislators","7","709","17"
"892887254561161216","legislators","6","600","20"
"311162992060411904","legislators","20","2031","21"
"707311004628230144","legislators","10","1099","19"
"175698507267710976","legislators","10","1099","15"
"550400964578922496","legislators","10","1099","21"
"876833894875754501","legislators","10","1001","17"
"421891606032052224","legislators","10","1001","24"
"884926681718243328","legislators","10","1000","19"
"867537329417850881","legislators","1","105","24"
"767864329680977920","legislators","12","1206","22"
"864664364569288704","legislators","10","1002","23"
"998577697440743425","legislators","10","1001","43"
"85791907007049728","legislators","10","1005","14"
"899489911606300673","legislators","1","108","19"
"958118907163889664","legislators","1","105","10"
"824365623840952321","legislators","10","1007","22"
"695002766893309952","legislators","9","900","20"
"337565869783777281","legislators","10","1007","20"
"814203405799477252","legislators","10","1002","14"
"915250134849433600","legislators","20","2031","14"
"732609906856108033","legislators","14","1499","18"
"970335831880806403","legislators","12","1207","27"
"930755900868001792","legislators","12","1207","33"
"708060083788222465","legislators","20","2031","14"
"817117422540980229","legislators","25","2502","19"
"931581652823891971","legislators","20","2031","22"
"968574046131519488","legislators","25","2502","39"
"885991463577890816","legislators","3","300","15"
"970665181956075521","legislators","12","1207","27"
"700438989308882945","legislators","12","1299","18"
"996794956298772480","legislators","3","342","39"
"860217534003511296","legislators","20","2031","23"
"700382018509545473","legislators","13","1308","21"
"438431215385714689","legislators","10","1001","22"
"875422857924194304","legislators","8","806","17"
"783366098070540288","legislators","7","701","9"
"871484580318007296","legislators","8","806","15"
"768588368162586624","legislators","8","800","18"
"395637085010284544","legislators","3","342","23"
"961686072701800448","legislators","8","803","34"
"349756726767128576","legislators","20","2031","10"
"340269161529876481","legislators","20","2031","22"
"768601604786229248","legislators","20","2000","17"
"731310223395147777","legislators","3","332","13"
"831573531859181569","legislators","14","1403","24"
"860226256096440323","legislators","6","600","18"
"75261734373437440","legislators","20","2031","21"
"568884989720289281","legislators","1","107","15"
"961357575122911233","legislators","3","399","17"
"686569934978154496","legislators","2","202","16"
"628996037315850240","legislators","21","2104","22"
"831918821019639808","legislators","20","2031","15"
"502875979132317696","legislators","20","2031","11"
"860173730345091076","legislators","7","705","22"
"581561185897562112","legislators","20","2002","19"
"1002552478041337857","legislators","20","2031","22"
"829048115093176321","legislators","20","2031","17"
"471354029260283904","legislators","1","107","13"
"978351893129977856","legislators","1","107","24"
"951126417047216128","legislators","3","399","30"
"753629505034588160","legislators","1","100","14"
"867187075199770624","legislators","1","105","18"
"871843609452195840","legislators","14","1406","22"
"867200170190045184","legislators","1","105","15"
"553204543002267648","legislators","21","2104","17"
"324501817604050944","legislators","14","1499","16"
"977255623522996225","legislators","20","2031","6"
"967101032835694593","legislators","3","321","17"
"923573421073715200","legislators","8","899","21"
"488724211499016192","legislators","4","402","18"
"585598723117449216","legislators","4","408","18"
"464566576252194816","legislators","20","2031","21"
"908583750002294784","legislators","14","1406","24"
"984190634935406592","legislators","17","1706","18"
"738095957900857345","legislators","3","333","25"
"966319149701124096","legislators","4","405","18"
"1016863168822415360","legislators","15","1500","36"
"1015996132126806017","legislators","2","202","53"
"1039205771559366656","legislators","8","806","18"
"1008821705425539072","legislators","1","105","27"
"999098342389956608","legislators","2","208","15"
"1007413059495841792","legislators","8","806","21"
"1055884976892325888","legislators","16","1616","48"
"993625645149179906","legislators","13","1302","18"
"1024358964786589696","legislators","20","2031","22"
"1033045058772234241","legislators","6","601","47"
"1027469750144847873","legislators","20","2031","20"
"1076610405080850432","legislators","12","1205","36"
"1053440239220547584","legislators","10","1099","43"
"1090425085545074689","legislators","1","107","44"
"1050551158169882624","legislators","20","2012","49"
"1089264975108034560","legislators","1","107","30"
"1076501787459366914","legislators","21","2100","41"
"971415318110375937","legislators","25","2502","15"
"1042597989234159617","legislators","8","806","43"
"1089291188224606210","legislators","9","900","49"
"1092792399078682624","legislators","3","332","12"
"1075741167495602176","legislators","14","1499","39"
"1084855037967388677","legislators","20","2001","27"
"1061722799197302786","legislators","20","2031","12"
"1008928912464891904","legislators","6","602","32"
"1085255830113579008","legislators","20","2031","40"
"1091041857805656065","legislators","20","2002","35"
"1044435965446512640","legislators","20","2031","11"
"1022912140481581056","legislators","3","343","25"
"961279128199684096","legislators","17","1706","15"
"1017549837179506688","legislators","1","105","34"
"1009920219391905792","legislators","12","1299","44"
"1101956130681638912","legislators","2","202","33"
"1093566634520920064","legislators","12","1205","25"
"963117900583206912","legislators","12","1208","15"
"1011982215021060097","legislators","2","202","35"
"1073619579585380352","legislators","10","1099","29"
"1042416971453620224","legislators","12","1207","32"
"1024539115424022528","legislators","20","2031","14"
"1013162787944714242","legislators","2","202","40"
"1055268064969793537","legislators","3","342","16"
"1019727372273307648","legislators","20","2031","29"
"958756462192447488","legislators","12","1207","23"
"1007412744566345728","legislators","1","105","14"
"1095004515827441665","legislators","8","806","37"
"1035329237987688448","legislators","14","1409","37"
"1025057135942688769","legislators","1","100","47"
"1024489521629392897","legislators","2","202","36"
"1099022015288217600","legislators","1","107","17"
"959230572219396096","legislators","20","2031","21"
"1044698862370189312","legislators","2","202","31"
"1019641991481589760","legislators","2","206","22"
"1088475631732621313","legislators","6","603","53"
"1097870530152140802","legislators","20","2031","20"
"1087853959946092544","legislators","3","343","32"
"1073409334338572289","legislators","3","399","50"
"1029396410364383233","legislators","12","1299","31"
"971156066368217088","leg_follower","9","900","15"
"986360754961092608","leg_follower","20","2031","14"
"962461294027821056","leg_follower","15","1502","15"
"954326619128246273","leg_follower","6","607","26"
"958520324752015365","leg_follower","17","1709","17"
"997879607239077890","leg_follower","20","2031","9"
"978945038909673472","leg_follower","12","1211","13"
"954180537731620864","leg_follower","16","1603","10"
"949338705277476870","leg_follower","12","1203","15"
"954711050368122880","leg_follower","1","105","21"
"991302803091058689","leg_follower","1","107","10"
"980816264624066560","leg_follower","16","1616","12"
"977170916525264896","leg_follower","1","105","20"
"955114553955770376","leg_follower","1","105","14"
"984061172184961024","leg_follower","10","1099","12"
"996891924161286150","leg_follower","17","1709","21"
"991728054669053952","leg_follower","20","2031","19"
"997534227150274560","leg_follower","20","2031","26"
"954521254299652096","leg_follower","24","2400","13"
"997755268158164997","leg_follower","20","2031","6"
"1004434006790885377","leg_follower","12","1202","21"
"992569895442374663","leg_follower","2","208","18"
"958332841733099521","leg_follower","9","900","20"
"1003439740455178240","leg_follower","3","301","13"
"992796795678834688","leg_follower","20","2031","5"
"1001178055375769602","leg_follower","4","402","24"
"973505994616594432","leg_follower","2","207","13"
"963254656917999617","leg_follower","2","201","27"
"951560173889441792","leg_follower","12","1204","18"
"956688358066987008","leg_follower","2","208","19"
"996872812949262337","leg_follower","9","900","24"
"955524926030610432","leg_follower","1","105","27"
"956612559150333952","leg_follower","20","2031","23"
"988540238749491200","leg_follower","20","2031","17"
"959901896835260424","leg_follower","12","1210","13"
"1000899361398636544","leg_follower","12","1210","13"
"977099545996701696","leg_follower","20","2031","11"
"995858611434872839","leg_follower","17","1709","17"
"998942900187787264","media","2","201","16"
"970177219791335424","media","20","2031","6"
"996095241320042502","media","15","1526","14"
"971931061226754049","media","20","2031","10"
"974317252211347457","media","25","2500","12"
"996471374188236800","media","3","331","23"
"989192692184870912","media","20","2031","10"
"976236289442893824","media","25","2500","11"
"984899168694161408","media","5","505","12"
"979146801331793922","media","20","2031","11"
"971630471049342977","media","12","1227","11"
"999056757195501568","media","15","1501","14"
"1073867435520987137","media","24","2400","9"
"1066166290761613312","media","20","2012","24"
"1088880126362861568","media","7","711","14"
"994321122022903811","media","3","342","10"
"1051952830167142400","media","20","2031","13"
"1084264225818791936","media","12","1203","13"
"1096196752208773120","media","1","105","18"
"1022904454989770753","media","4","499","11"
"1073443477239853057","media","4","404","11"
"1009460364721967105","media","8","806","43"
"975887653735403522","media","2","206","9"
"1050513918483947520","media","2","202","43"
"1006531261823963138","media","3","342","9"
"1091749889556561920","media","6","602","5"
"1095415753384345601","media","12","1207","18"
"1065350657530621953","media","3","301","9"
"1028642298169643013","media","4","400","30"
"968546581132824577","media","6","602","7"
"1079768894888398848","media","15","1521","23"
"996619000598728704","media","4","400","12"
"1070016149356634112","media","4","400","7"
"977975724719181824","media","25","2502","19"
"1000765150859857922","media","12","1227","16"
"1096657686106595329","media","14","1400","40"
"976975760513732609","media","2","208","11"
"1055815050022342656","media","20","2031","9"
"1087726832173101056","media","4","403","11"
"992031342606143488","media","14","1409","12"
"1075088305375625219","media","19","1925","25"
"973204536063152128","media","20","2099","16"
"989869728436031488","media","7","709","22"
"997462913966329857","media","1","105","14"
"1075908721631526913","media","25","2502","26"
"1092039480654155776","media","25","2500","12"
"981949623479644160","media","12","1208","15"
"1065363830375702529","media","3","302","14"
"1004748280088051712","media","12","1203","16"
"1080518124103966720","media","25","2502","33"
"1006898749799448579","media","14","1400","9"
"1009409074444886017","media","8","806","7"
"1067577585046118400","media","20","2031","10"
"1096010870184919040","media","25","2500","8"
"1091323955078750210","media","6","607","29"
"1089523533267513345","media","3","302","18"
"1070536813918466055","media","14","1401","12"
"1088987657592541184","media","1","105","29"
"1006669549150883840","media","12","1207","13"
"988433988275519489","media","10","1003","11"
"1091347922447491073","media","15","1521","40"
"1096322237362307072","media","2","208","15"
"1092528255440220160","media","25","2502","45"
"980147253347266560","media","6","602","18"
"1092484609248583681","media","12","1211","12"
"1037143068926009344","media","20","2012","9"
"957221794167115776","media","9","900","12"
"1090389022076297217","media","6","602","24"
"994670934203207681","media","8","801","10"
"1086310708269273088","media","12","1203","18"
"1092890836726153216","media","3","399","15"
