"Issue","overall_mean","Group","Value"
"Agriculture",0.704339465446917,"Members of Congress",1.23067183099761
"Civil Rights",11.3587762292328,"Members of Congress",8.52183979036193
"Defense",3.56940705004442,"Members of Congress",6.45161372329634
"Domestic Commerce",4.05079995776502,"Members of Congress",4.23411262479789
"Economy",7.63665505582421,"Members of Congress",9.18883966433489
"Education",3.58752349107169,"Members of Congress",2.85920246877852
"Energy",1.75558040565725,"Members of Congress",2.34735560279707
"Environment",3.42636399555271,"Members of Congress",3.88742752591861
"Foreign Trade",0.360742910518907,"Members of Congress",0.332610255714352
"Gov. Operations",18.0268143702807,"Members of Congress",16.2715484803183
"Gun Control",2.52412977167887,"Members of Congress",1.28851400131135
"Healthcare",15.4961018987122,"Members of Congress",13.634978552559
"Housing",1.90980760800079,"Members of Congress",1.21548955896693
"Immigration",3.5801538222689,"Members of Congress",6.07609070352947
"Intl. Affairs",7.13317585945237,"Members of Congress",5.90631012838473
"Labor",2.62725854596851,"Members of Congress",3.10844318182448
"Law and Crime",5.25571230671788,"Members of Congress",5.12094191277079
"Public Lands",1.19657432114092,"Members of Congress",1.35760283122111
"Social Welfare",1.35650857477584,"Members of Congress",1.93073093089953
"Technology",1.58251108950325,"Members of Congress",1.8124315861169
"Transportation",2.86106327038586,"Members of Congress",3.22324464510011
"Agriculture",0.704339465446917,"National Media",0.431286091168971
"Civil Rights",11.3587762292328,"National Media",12.6762911769546
"Defense",3.56940705004442,"National Media",3.32050191322217
"Domestic Commerce",4.05079995776502,"National Media",2.71210109468161
"Economy",7.63665505582421,"National Media",4.271577157183
"Education",3.58752349107169,"National Media",2.12026850740592
"Energy",1.75558040565725,"National Media",1.52759405745219
"Environment",3.42636399555271,"National Media",3.08899668412053
"Foreign Trade",0.360742910518907,"National Media",0.52006512596114
"Gov. Operations",18.0268143702807,"National Media",16.3374084857946
"Gun Control",2.52412977167887,"National Media",1.74633841910326
"Healthcare",15.4961018987122,"National Media",14.6935272608195
"Housing",1.90980760800079,"National Media",0.904900086499657
"Immigration",3.5801538222689,"National Media",4.23079518189597
"Intl. Affairs",7.13317585945237,"National Media",19.2059189664459
"Labor",2.62725854596851,"National Media",1.4620731175632
"Law and Crime",5.25571230671788,"National Media",5.79573369786685
"Public Lands",1.19657432114092,"National Media",0.808573364269618
"Social Welfare",1.35650857477584,"National Media",0.460081562283017
"Technology",1.58251108950325,"National Media",2.05876971634725
"Transportation",2.86106327038586,"National Media",1.62719833296117
"Agriculture",0.704339465446917,"State Legislators",1.11749794864143
"Civil Rights",11.3587762292328,"State Legislators",9.1657127144614
"Defense",3.56940705004442,"State Legislators",2.83115896937769
"Domestic Commerce",4.05079995776502,"State Legislators",4.19138912194049
"Economy",7.63665505582421,"State Legislators",7.06496470462726
"Education",3.58752349107169,"State Legislators",6.24018808730094
"Energy",1.75558040565725,"State Legislators",2.01775518795652
"Environment",3.42636399555271,"State Legislators",2.95958758662989
"Foreign Trade",0.360742910518907,"State Legislators",0.120482382735621
"Gov. Operations",18.0268143702807,"State Legislators",22.7225182667447
"Gun Control",2.52412977167887,"State Legislators",1.74369738839898
"Healthcare",15.4961018987122,"State Legislators",16.3192173298965
"Housing",1.90980760800079,"State Legislators",2.46370424997399
"Immigration",3.5801538222689,"State Legislators",2.37508958584351
"Intl. Affairs",7.13317585945237,"State Legislators",1.86241766655015
"Labor",2.62725854596851,"State Legislators",2.4993358324974
"Law and Crime",5.25571230671788,"State Legislators",6.58285099709696
"Public Lands",1.19657432114092,"State Legislators",1.5758753753378
"Social Welfare",1.35650857477584,"State Legislators",2.46023632565818
