epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
,,,,,,,,
1,1,0.7436,0.1913,0.7635,0.2358,legfol_codedtweets,0.0528,0.1814
2,1,0.7895,0.4407,0.7884,0.4303,legfol_codedtweets,0.1498,0.4239
3,1,0.8073,0.4383,0.8143,0.4441,legfol_codedtweets,0.2874,0.497
4,1,0.7924,0.5593,0.7947,0.5594,legfol_codedtweets,0.3847,0.5798
5,1,0.7854,0.6029,0.7856,0.5869,legfol_codedtweets,0.4309,0.6062
6,1,0.8204,0.5956,0.8092,0.5404,legfol_codedtweets,0.3961,0.5821
1,2,0.7611,0.2569,0.7717,0.2651,legfol_codedtweets,0.077,0.2534
2,2,0.7997,0.3819,0.8075,0.3873,legfol_codedtweets,0.2192,0.4401
3,2,0.8044,0.5093,0.8066,0.4836,legfol_codedtweets,0.3033,0.5216
4,2,0.7952,0.5046,0.8047,0.5009,legfol_codedtweets,0.3528,0.5472
5,2,0.7863,0.544,0.7911,0.5404,legfol_codedtweets,0.3991,0.5743
6,2,0.7895,0.5509,0.8043,0.5766,legfol_codedtweets,0.4494,0.6171
1,3,0.7701,0.1865,0.7549,0.1859,legfol_codedtweets,0.034,0.143
2,3,0.8029,0.3808,0.8111,0.4475,legfol_codedtweets,0.2085,0.4659
3,3,0.7895,0.4715,0.7925,0.5215,legfol_codedtweets,0.2698,0.5331
4,3,0.7856,0.4974,0.7925,0.5611,legfol_codedtweets,0.3199,0.5706
5,3,0.8163,0.5052,0.8166,0.5508,legfol_codedtweets,0.3746,0.5796
1,1,0.7973,0.7973,0.1386,0.5267,cap,0.4929,0.5117
2,1,0.8042,0.8042,0.1291,0.4905,cap,0.4986,0.4849
3,1,0.809,0.809,0.1255,0.4768,cap,0.5012,0.469
4,1,0.8125,0.8125,0.1327,0.5043,cap,0.4946,0.4946
1,2,0.7981,0.7981,0.1277,0.4854,cap,0.4966,0.4748
2,2,0.8114,0.8114,0.1227,0.4664,cap,0.4621,0.4529
3,2,0.8131,0.8131,0.1196,0.4544,cap,0.4785,0.438
4,2,0.8138,0.8138,0.1182,0.4492,cap,0.4568,0.4316
5,2,0.8126,0.8125,0.1191,0.4527,cap,0.4601,0.4324
1,3,0.7974,0.7974,0.1332,0.506,cap,0.47,0.4974
2,3,0.8109,0.8109,0.1305,0.4957,cap,0.4593,0.4839
3,3,0.8148,0.8149,0.1259,0.4785,cap,0.4712,0.4681
4,3,0.8131,0.813,0.1246,0.4733,cap,0.4968,0.4629
5,3,0.812,0.812,0.1196,0.4544,cap,0.4655,0.4455
1,1,0.7954,0.7946,0.7644,0.3993,coded_tweets-AND-fullCAP,0.4344,0.4531
2,1,0.8096,0.8093,0.7662,0.5542,coded_tweets-AND-fullCAP,0.5047,0.6061
3,1,0.8096,0.8093,0.7671,0.5439,coded_tweets-AND-fullCAP,0.5139,0.5913
4,1,0.8104,0.8102,0.7553,0.537,coded_tweets-AND-fullCAP,0.5139,0.5843
5,1,0.8125,0.8122,0.7767,0.5525,coded_tweets-AND-fullCAP,0.5383,0.6149
1,2,0.7943,0.794,0.7276,0.4854,coded_tweets-AND-fullCAP,0.4814,0.5242
2,2,0.8074,0.8078,0.7062,0.5663,coded_tweets-AND-fullCAP,0.5551,0.6066
3,2,0.8102,0.8103,0.713,0.5491,coded_tweets-AND-fullCAP,0.5074,0.5804
4,2,0.8122,0.8121,0.7525,0.5749,coded_tweets-AND-fullCAP,0.534,0.6136
5,2,0.8121,0.8125,0.7131,0.5921,coded_tweets-AND-fullCAP,0.5587,0.6157
1,3,0.7955,0.7949,0.7684,0.4165,coded_tweets-AND-fullCAP,0.4474,0.4806
2,3,0.8094,0.8089,0.7857,0.5318,coded_tweets-AND-fullCAP,0.5638,0.6061
3,3,0.8128,0.8129,0.7562,0.58,coded_tweets-AND-fullCAP,0.5717,0.6304
4,3,0.8108,0.811,0.7449,0.5749,coded_tweets-AND-fullCAP,0.5705,0.6234
5,3,0.8103,0.8108,0.7177,0.5938,coded_tweets-AND-fullCAP,0.5557,0.6339
1,1,0.6843,0.382,0.7713,0.3873,coded_tweets-AND-smallCAP,0.166,0.3748
2,1,0.7256,0.5668,0.7735,0.5508,coded_tweets-AND-smallCAP,0.3739,0.58
3,1,0.7507,0.6005,0.7784,0.5387,coded_tweets-AND-smallCAP,0.4202,0.5694
4,1,0.7783,0.5655,0.8202,0.5198,coded_tweets-AND-smallCAP,0.4053,0.5828
5,1,0.7742,0.6192,0.8079,0.5731,coded_tweets-AND-smallCAP,0.4861,0.614
6,1,0.7624,0.6192,0.8033,0.6093,coded_tweets-AND-smallCAP,0.5514,0.6476
7,1,0.7793,0.6105,0.8201,0.5852,coded_tweets-AND-smallCAP,0.5194,0.64
1,2,0.7164,0.4382,0.7503,0.3494,coded_tweets-AND-smallCAP,0.1826,0.3197
2,2,0.7,0.5885,0.7027,0.5473,coded_tweets-AND-smallCAP,0.3754,0.5479
3,2,0.7962,0.5771,0.8156,0.4991,coded_tweets-AND-smallCAP,0.3816,0.5579
4,2,0.7532,0.6293,0.7693,0.6162,coded_tweets-AND-smallCAP,0.4823,0.6455
5,2,0.8014,0.6013,0.8296,0.5387,coded_tweets-AND-smallCAP,0.4884,0.6147
6,2,0.8029,0.6318,0.8292,0.5852,coded_tweets-AND-smallCAP,0.5203,0.642
1,3,0.6504,0.37,0.7127,0.3632,coded_tweets-AND-smallCAP,0.0959,0.2828
2,3,0.7471,0.57,0.7843,0.5663,coded_tweets-AND-smallCAP,0.407,0.5774
3,3,0.7897,0.545,0.8319,0.4682,coded_tweets-AND-smallCAP,0.4354,0.5594
4,3,0.7893,0.6212,0.8087,0.5491,coded_tweets-AND-smallCAP,0.4596,0.5969
5,3,0.7862,0.6012,0.8215,0.5645,coded_tweets-AND-smallCAP,0.534,0.6172
6,3,0.7888,0.6288,0.8196,0.6041,coded_tweets-AND-smallCAP,0.5587,0.6521
7,3,0.8021,0.635,0.831,0.5938,coded_tweets-AND-smallCAP,0.588,0.6542
1,1,0.633,0.3023,0.6932,0.3322,coded_tweets-AND-smallerCAP,0.0722,0.2387
2,1,0.7564,0.485,0.7911,0.4716,coded_tweets-AND-smallerCAP,0.2915,0.4896
3,1,0.7828,0.4369,0.8251,0.4303,coded_tweets-AND-smallerCAP,0.3664,0.5185
4,1,0.7907,0.5299,0.8238,0.4974,coded_tweets-AND-smallerCAP,0.4462,0.5616
5,1,0.7718,0.5764,0.8047,0.5783,coded_tweets-AND-smallerCAP,0.4782,0.6119
6,1,0.767,0.5731,0.8052,0.5938,coded_tweets-AND-smallerCAP,0.497,0.6312
7,1,0.7867,0.5648,0.8193,0.5714,coded_tweets-AND-smallerCAP,0.5229,0.6236
1,2,0.6462,0.2446,0.7104,0.2788,coded_tweets-AND-smallerCAP,0.0497,0.1864
2,2,0.7629,0.4542,0.7961,0.4389,coded_tweets-AND-smallerCAP,0.2269,0.4536
3,2,0.7786,0.5125,0.822,0.5284,coded_tweets-AND-smallerCAP,0.3724,0.577
4,2,0.7858,0.5641,0.8115,0.5714,coded_tweets-AND-smallerCAP,0.4443,0.6163
5,2,0.7886,0.5707,0.8228,0.5783,coded_tweets-AND-smallerCAP,0.4795,0.6283
6,2,0.7972,0.609,0.8224,0.5972,coded_tweets-AND-smallerCAP,0.4968,0.6433
7,2,0.7968,0.5857,0.8246,0.5749,coded_tweets-AND-smallerCAP,0.4957,0.633
1,3,0.6381,0.2067,0.7068,0.2272,coded_tweets-AND-smallerCAP,0.027,0.1294
2,3,0.7225,0.3943,0.7893,0.4527,coded_tweets-AND-smallerCAP,0.1768,0.4413
3,3,0.7633,0.407,0.8224,0.4114,coded_tweets-AND-smallerCAP,0.2778,0.4753
4,3,0.7761,0.5453,0.8093,0.5611,coded_tweets-AND-smallerCAP,0.4052,0.6024
5,3,0.7994,0.5548,0.831,0.5491,coded_tweets-AND-smallerCAP,0.4685,0.6064
6,3,0.7835,0.566,0.8238,0.6024,coded_tweets-AND-smallerCAP,0.5109,0.6523
7,3,0.7852,0.558,0.8265,0.5972,coded_tweets-AND-smallerCAP,0.5186,0.6508
1,1,0.8335,0.8285,0.7806,0.4406,coded_tweets-AND-ar,0.4152,0.4902
2,1,0.8443,0.8424,0.7884,0.5232,coded_tweets-AND-ar,0.4797,0.5801
3,1,0.853,0.8478,0.8151,0.5318,coded_tweets-AND-ar,0.5151,0.6029
4,1,0.851,0.848,0.7965,0.5645,coded_tweets-AND-ar,0.5095,0.6216
5,1,0.8519,0.8495,0.7938,0.5336,coded_tweets-AND-ar,0.5133,0.5905
1,2,0.8364,0.8322,0.7775,0.4578,coded_tweets-AND-ar,0.4362,0.5234
2,2,0.8402,0.8408,0.7435,0.5559,coded_tweets-AND-ar,0.4699,0.5903
3,2,0.8445,0.8457,0.7547,0.5714,coded_tweets-AND-ar,0.5073,0.6109
4,2,0.8507,0.8495,0.7783,0.568,coded_tweets-AND-ar,0.5015,0.6179
1,3,0.8309,0.8251,0.7911,0.4441,coded_tweets-AND-ar,0.4617,0.4914
2,3,0.843,0.8398,0.7938,0.5181,coded_tweets-AND-ar,0.5191,0.5788
3,3,0.8399,0.8416,0.7293,0.5232,coded_tweets-AND-ar,0.5469,0.5632
4,3,0.8504,0.8483,0.7879,0.5542,coded_tweets-AND-ar,0.5196,0.6062
5,3,0.8565,0.8539,0.7874,0.537,coded_tweets-AND-ar,0.521,0.5937
