epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
,,,,,,,,
1,1,0.6623,0.1884,0.6655,0.2474,legfol_codedtweets,0.0207,0.1204
2,1,0.8119,0.3593,0.8115,0.3772,legfol_codedtweets,0.1333,0.3894
3,1,0.8351,0.5176,0.8368,0.5316,legfol_codedtweets,0.3294,0.5624
4,1,0.8249,0.5578,0.8277,0.5596,legfol_codedtweets,0.3295,0.5854
5,1,0.83,0.6055,0.8264,0.5842,legfol_codedtweets,0.4069,0.6235
6,1,0.8377,0.6181,0.8268,0.593,legfol_codedtweets,0.4418,0.6405
7,1,0.8421,0.5854,0.8431,0.5947,legfol_codedtweets,0.494,0.6477
1,2,0.7005,0.236,0.6823,0.2386,legfol_codedtweets,0.0206,0.1201
2,2,0.7834,0.3731,0.7716,0.3737,legfol_codedtweets,0.1033,0.3501
3,2,0.8364,0.4949,0.8359,0.5175,legfol_codedtweets,0.2544,0.5481
4,2,0.836,0.5,0.8409,0.5421,legfol_codedtweets,0.2953,0.5816
5,2,0.809,0.6041,0.8065,0.6281,legfol_codedtweets,0.3752,0.6439
6,2,0.8275,0.6041,0.8214,0.6246,legfol_codedtweets,0.407,0.6515
7,2,0.8402,0.5609,0.8482,0.6088,legfol_codedtweets,0.4262,0.6494
1,3,0.7656,0.3687,0.7543,0.3789,legfol_codedtweets,0.0972,0.3307
2,3,0.8418,0.4848,0.8309,0.486,legfol_codedtweets,0.2232,0.5263
3,3,0.8421,0.5354,0.8436,0.5614,legfol_codedtweets,0.3543,0.6074
4,3,0.8134,0.6111,0.8118,0.6281,legfol_codedtweets,0.4293,0.65
5,3,0.8281,0.6187,0.82,0.6281,legfol_codedtweets,0.4535,0.6621
1,1,0.7827,0.7827,0.131,0.507,cap,0.4852,0.5125
2,1,0.8001,0.8002,0.1301,0.5035,cap,0.47,0.5017
3,1,0.8101,0.8101,0.136,0.5263,cap,0.4913,0.5224
4,1,0.8152,0.8153,0.1337,0.5175,cap,0.4864,0.5091
5,1,0.8163,0.8163,0.1274,0.493,cap,0.4672,0.4906
6,1,0.8173,0.8174,0.1332,0.5158,cap,0.4784,0.5088
1,2,0.7838,0.7838,0.1346,0.5211,cap,0.5047,0.5178
2,2,0.8018,0.8018,0.1382,0.5351,cap,0.5006,0.5241
3,2,0.8112,0.8112,0.1378,0.5333,cap,0.5135,0.5211
4,2,0.8159,0.8159,0.1319,0.5105,cap,0.4777,0.5046
5,2,0.8183,0.8184,0.1332,0.5158,cap,0.4878,0.5116
6,2,0.8191,0.8192,0.1305,0.5053,cap,0.4812,0.5021
1,3,0.7816,0.7816,0.1378,0.5333,cap,0.4578,0.527
2,3,0.8035,0.8035,0.145,0.5614,cap,0.5084,0.5533
3,3,0.8139,0.8139,0.1414,0.5474,cap,0.5102,0.5355
4,3,0.8154,0.8154,0.1346,0.5211,cap,0.4741,0.5147
5,3,0.8201,0.8201,0.1269,0.4912,cap,0.4846,0.4896
6,3,0.822,0.8221,0.1278,0.4947,cap,0.4651,0.4918
1,1,0.7877,0.7876,0.7602,0.5263,coded_tweets-AND-fullCAP,0.4853,0.5933
2,1,0.8041,0.8042,0.7321,0.593,coded_tweets-AND-fullCAP,0.5519,0.6308
3,1,0.8136,0.814,0.7244,0.6105,coded_tweets-AND-fullCAP,0.5753,0.6486
4,1,0.8163,0.8162,0.7589,0.614,coded_tweets-AND-fullCAP,0.5577,0.6637
5,1,0.819,0.8184,0.7979,0.5614,coded_tweets-AND-fullCAP,0.5089,0.6319
6,1,0.8187,0.818,0.8024,0.5368,coded_tweets-AND-fullCAP,0.536,0.6056
1,2,0.7865,0.7859,0.7725,0.5246,coded_tweets-AND-fullCAP,0.4928,0.5814
2,2,0.8015,0.8013,0.7648,0.5596,coded_tweets-AND-fullCAP,0.4867,0.6195
3,2,0.8065,0.8063,0.7739,0.5982,coded_tweets-AND-fullCAP,0.5611,0.6524
4,2,0.8098,0.8098,0.763,0.6088,coded_tweets-AND-fullCAP,0.5582,0.6604
5,2,0.8147,0.8144,0.8015,0.5982,coded_tweets-AND-fullCAP,0.5496,0.6616
1,3,0.7832,0.7841,0.6699,0.5614,coded_tweets-AND-fullCAP,0.5078,0.5875
2,3,0.8026,0.8026,0.7584,0.6088,coded_tweets-AND-fullCAP,0.5322,0.6593
3,3,0.8103,0.8098,0.8092,0.5737,coded_tweets-AND-fullCAP,0.5153,0.6432
4,3,0.8126,0.8123,0.796,0.586,coded_tweets-AND-fullCAP,0.5239,0.6503
5,3,0.8159,0.8156,0.811,0.593,coded_tweets-AND-fullCAP,0.5694,0.6603
6,3,0.8181,0.8175,0.816,0.5456,coded_tweets-AND-fullCAP,0.5135,0.6252
1,1,0.7424,0.5657,0.796,0.5842,coded_tweets-AND-smallCAP,0.3872,0.6113
2,1,0.7246,0.6233,0.7702,0.6842,coded_tweets-AND-smallCAP,0.5771,0.7047
3,1,0.7918,0.5757,0.855,0.5772,coded_tweets-AND-smallCAP,0.514,0.6484
4,1,0.7968,0.5907,0.8505,0.586,coded_tweets-AND-smallCAP,0.5167,0.6584
5,1,0.8051,0.637,0.8395,0.6386,coded_tweets-AND-smallCAP,0.5781,0.6906
6,1,0.7876,0.6483,0.8278,0.6702,coded_tweets-AND-smallCAP,0.6078,0.7094
1,2,0.7306,0.4981,0.8033,0.5596,coded_tweets-AND-smallCAP,0.3191,0.585
2,2,0.7711,0.595,0.8268,0.6421,coded_tweets-AND-smallCAP,0.4783,0.6775
3,2,0.7784,0.6063,0.8282,0.6246,coded_tweets-AND-smallCAP,0.4931,0.6627
4,2,0.7671,0.6239,0.8069,0.6421,coded_tweets-AND-smallCAP,0.5387,0.6762
5,2,0.7999,0.5987,0.8445,0.5982,coded_tweets-AND-smallCAP,0.5345,0.6603
1,3,0.6095,0.4919,0.6455,0.5421,coded_tweets-AND-smallCAP,0.241,0.5013
