epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
,,,,,,,,
1,1,0.6357,0.1524,0.6587,0.1739,media_codedtweets,0.0352,0.1067
2,1,0.7209,0.459,0.7139,0.4312,media_codedtweets,0.2906,0.4298
3,1,0.7598,0.531,0.7705,0.5121,media_codedtweets,0.4199,0.5481
4,1,0.7504,0.5678,0.7647,0.5773,media_codedtweets,0.4773,0.6011
5,1,0.7686,0.5511,0.7818,0.5447,media_codedtweets,0.4821,0.5897
6,1,0.7686,0.5511,0.7818,0.5447,media_codedtweets,0.4821,0.5897
7,1,0.7686,0.5511,0.7818,0.5447,media_codedtweets,0.4821,0.5897
1,2,0.6404,0.1774,0.6499,0.1594,media_codedtweets,0.0291,0.0886
2,2,0.6743,0.3818,0.6765,0.3454,media_codedtweets,0.1698,0.3108
3,2,0.735,0.4611,0.7523,0.4662,media_codedtweets,0.3266,0.4669
4,2,0.7344,0.5169,0.7522,0.5254,media_codedtweets,0.3794,0.5227
5,2,0.7468,0.5422,0.7668,0.5483,media_codedtweets,0.4288,0.5606
6,2,0.7468,0.5422,0.7668,0.5483,media_codedtweets,0.4288,0.5606
7,2,0.7468,0.5422,0.7668,0.5483,media_codedtweets,0.4288,0.5606
8,2,0.7468,0.5422,0.7668,0.5483,media_codedtweets,0.4288,0.5606
1,3,0.6251,0.1487,0.6358,0.1316,media_codedtweets,0.0183,0.0584
2,3,0.7065,0.465,0.7207,0.4505,media_codedtweets,0.2977,0.4347
3,3,0.7619,0.4923,0.7706,0.4928,media_codedtweets,0.3935,0.5153
4,3,0.7407,0.5538,0.7556,0.5495,media_codedtweets,0.4586,0.566
5,3,0.7649,0.4957,0.7772,0.5145,media_codedtweets,0.4555,0.5557
6,3,0.7649,0.4957,0.7772,0.5145,media_codedtweets,0.4555,0.5557
7,3,0.7649,0.4957,0.7772,0.5145,media_codedtweets,0.4555,0.5557
1,1,0.7975,0.7975,0.2272,0.6522,cap,0.6043,0.644
2,1,0.8063,0.8063,0.2151,0.6171,cap,0.5581,0.6087
3,1,0.8122,0.8122,0.2105,0.6039,cap,0.5499,0.6
4,1,0.8164,0.8163,0.2093,0.6014,cap,0.5565,0.602
5,1,0.8205,0.8205,0.2102,0.6039,cap,0.555,0.6012
1,2,0.7991,0.7991,0.2197,0.6304,cap,0.5871,0.6245
2,2,0.8138,0.8137,0.2177,0.6268,cap,0.5809,0.6221
3,2,0.8162,0.8162,0.2156,0.6208,cap,0.5618,0.6134
4,2,0.8181,0.8181,0.2118,0.6087,cap,0.5526,0.6058
5,2,0.8222,0.8221,0.2139,0.6147,cap,0.5599,0.6113
1,3,0.7993,0.7993,0.2218,0.6365,cap,0.5812,0.6312
2,3,0.8135,0.8135,0.2205,0.6329,cap,0.5812,0.6288
3,3,0.8189,0.8189,0.2122,0.6087,cap,0.5542,0.6036
4,3,0.8172,0.8172,0.2086,0.6002,cap,0.5488,0.5973
5,3,0.8203,0.8203,0.2118,0.6087,cap,0.5597,0.5998
