epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
,,,,,,,,
1,1,0.6729,0.2467,0.6875,0.1982,media_codedtweets,0.0785,0.1689
2,1,0.6971,0.5232,0.7078,0.5006,media_codedtweets,0.3113,0.4619
3,1,0.7731,0.5977,0.7861,0.5883,media_codedtweets,0.4649,0.5888
4,1,0.7814,0.5927,0.7961,0.5845,media_codedtweets,0.4895,0.5978
5,1,0.7743,0.6126,0.7928,0.6175,media_codedtweets,0.5379,0.6366
6,1,0.7743,0.6126,0.7928,0.6175,media_codedtweets,0.5379,0.6366
7,1,0.7743,0.6126,0.7928,0.6175,media_codedtweets,0.5379,0.6366
1,2,0.662,0.194,0.6591,0.1461,media_codedtweets,0.031,0.091
2,2,0.6794,0.4381,0.6967,0.4041,media_codedtweets,0.2135,0.3523
3,2,0.7566,0.5368,0.7637,0.5032,media_codedtweets,0.3762,0.5044
4,2,0.7483,0.6171,0.7603,0.6074,media_codedtweets,0.4873,0.6071
5,2,0.7769,0.5987,0.7874,0.5845,media_codedtweets,0.4985,0.6033
6,2,0.7769,0.5987,0.7874,0.5845,media_codedtweets,0.4985,0.6033
7,2,0.7769,0.5987,0.7874,0.5845,media_codedtweets,0.4985,0.6033
1,3,0.718,0.4832,0.7078,0.4193,media_codedtweets,0.2651,0.3879
2,3,0.736,0.6195,0.7419,0.5985,media_codedtweets,0.4356,0.5721
3,3,0.7893,0.564,0.7994,0.5807,media_codedtweets,0.5071,0.6059
4,3,0.7843,0.6296,0.7923,0.6239,media_codedtweets,0.5455,0.6396
5,3,0.7926,0.6229,0.8011,0.6112,media_codedtweets,0.555,0.6386
6,3,0.7926,0.6229,0.8011,0.6112,media_codedtweets,0.555,0.6386
1,1,0.7801,0.7801,0.2078,0.6302,cap,0.5933,0.6241
2,1,0.8006,0.8006,0.2078,0.6302,cap,0.5834,0.6283
3,1,0.8137,0.8138,0.2032,0.6163,cap,0.5729,0.6172
4,1,0.8183,0.8184,0.2049,0.6213,cap,0.579,0.6182
5,1,0.8247,0.8248,0.2078,0.6302,cap,0.5805,0.6224
6,1,0.8247,0.8248,0.2078,0.6302,cap,0.5805,0.6224
7,1,0.8247,0.8248,0.2078,0.6302,cap,0.5805,0.6224
8,1,0.8247,0.8248,0.2078,0.6302,cap,0.5805,0.6224
1,2,0.7814,0.7815,0.2136,0.648,cap,0.591,0.6466
2,2,0.8043,0.8044,0.2132,0.648,cap,0.6047,0.6505
3,2,0.814,0.814,0.2219,0.6734,cap,0.6358,0.6716
4,2,0.82,0.8201,0.2094,0.6353,cap,0.5874,0.6292
5,2,0.8252,0.8252,0.2107,0.6391,cap,0.5992,0.6317
6,2,0.8252,0.8252,0.2107,0.6391,cap,0.5992,0.6317
7,2,0.8252,0.8252,0.2107,0.6391,cap,0.5992,0.6317
1,3,0.7904,0.7904,0.2094,0.6353,cap,0.5926,0.6373
2,3,0.8088,0.8088,0.209,0.6341,cap,0.5959,0.6344
3,3,0.8183,0.8183,0.2136,0.6468,cap,0.5999,0.6433
4,3,0.8214,0.8214,0.2086,0.6328,cap,0.5923,0.6285
5,3,0.8276,0.8277,0.2157,0.6544,cap,0.6103,0.6473
6,3,0.8276,0.8277,0.2157,0.6544,cap,0.6103,0.6473
7,3,0.8276,0.8277,0.2157,0.6544,cap,0.6103,0.6473
1,1,0.7905,0.7901,0.7502,0.5794,coded_tweets-AND-fullCAP,0.5434,0.628
2,1,0.8027,0.802,0.7836,0.5756,coded_tweets-AND-fullCAP,0.5783,0.6398
3,1,0.8143,0.8143,0.7612,0.6455,coded_tweets-AND-fullCAP,0.6209,0.6878
4,1,0.8173,0.817,0.7924,0.6302,coded_tweets-AND-fullCAP,0.6293,0.6891
5,1,0.825,0.8247,0.794,0.6379,coded_tweets-AND-fullCAP,0.6344,0.6961
6,1,0.825,0.8247,0.794,0.6379,coded_tweets-AND-fullCAP,0.6344,0.6961
7,1,0.825,0.8247,0.794,0.6379,coded_tweets-AND-fullCAP,0.6344,0.6961
1,2,0.7883,0.7881,0.7445,0.5909,coded_tweets-AND-fullCAP,0.5606,0.6236
2,2,0.8072,0.8066,0.7857,0.5756,coded_tweets-AND-fullCAP,0.5586,0.6348
3,2,0.8161,0.8155,0.782,0.5997,coded_tweets-AND-fullCAP,0.6034,0.664
4,2,0.8186,0.8185,0.7629,0.6353,coded_tweets-AND-fullCAP,0.6108,0.6746
5,2,0.8249,0.8247,0.7815,0.6353,coded_tweets-AND-fullCAP,0.6177,0.6887
6,2,0.8249,0.8247,0.7815,0.6353,coded_tweets-AND-fullCAP,0.6177,0.6887
7,2,0.8249,0.8247,0.7815,0.6353,coded_tweets-AND-fullCAP,0.6177,0.6887
1,3,0.7899,0.789,0.7758,0.4803,coded_tweets-AND-fullCAP,0.4971,0.5629
2,3,0.8059,0.8054,0.7728,0.5807,coded_tweets-AND-fullCAP,0.5785,0.6485
3,3,0.8125,0.8123,0.7633,0.629,coded_tweets-AND-fullCAP,0.6032,0.6741
4,3,0.82,0.8195,0.7853,0.5807,coded_tweets-AND-fullCAP,0.588,0.6483
5,3,0.8269,0.8268,0.7812,0.6506,coded_tweets-AND-fullCAP,0.6249,0.6928
6,3,0.8269,0.8268,0.7812,0.6506,coded_tweets-AND-fullCAP,0.6249,0.6928
7,3,0.8269,0.8268,0.7812,0.6506,coded_tweets-AND-fullCAP,0.6249,0.6928
1,1,0.6727,0.4457,0.7283,0.413,coded_tweets-AND-smallCAP,0.2583,0.3982
2,1,0.7439,0.5753,0.8002,0.5781,coded_tweets-AND-smallCAP,0.4955,0.6026
3,1,0.7626,0.6391,0.8015,0.6582,coded_tweets-AND-smallCAP,0.629,0.6945
4,1,0.7588,0.667,0.7803,0.6595,coded_tweets-AND-smallCAP,0.6225,0.6866
5,1,0.7742,0.652,0.799,0.6163,coded_tweets-AND-smallCAP,0.6249,0.6711
6,1,0.7742,0.652,0.799,0.6163,coded_tweets-AND-smallCAP,0.6249,0.6711
7,1,0.7742,0.652,0.799,0.6163,coded_tweets-AND-smallCAP,0.6249,0.6711
1,2,0.717,0.5117,0.7574,0.4651,coded_tweets-AND-smallCAP,0.361,0.4909
2,2,0.7385,0.6343,0.7671,0.6264,coded_tweets-AND-smallCAP,0.5581,0.648
3,2,0.7587,0.6323,0.7977,0.6302,coded_tweets-AND-smallCAP,0.6136,0.6721
4,2,0.7649,0.6547,0.8019,0.6696,coded_tweets-AND-smallCAP,0.6432,0.7069
5,2,0.7746,0.6415,0.8057,0.6226,coded_tweets-AND-smallCAP,0.6138,0.6729
6,2,0.7746,0.6415,0.8057,0.6226,coded_tweets-AND-smallCAP,0.6138,0.6729
1,3,0.7199,0.5095,0.7608,0.4295,coded_tweets-AND-smallCAP,0.345,0.4402
2,3,0.7568,0.6006,0.7733,0.5311,coded_tweets-AND-smallCAP,0.4962,0.5707
3,3,0.7617,0.6126,0.7861,0.5845,coded_tweets-AND-smallCAP,0.5775,0.6385
4,3,0.7602,0.6426,0.7903,0.6391,coded_tweets-AND-smallCAP,0.6205,0.6821
5,3,0.7736,0.6316,0.802,0.6112,coded_tweets-AND-smallCAP,0.6008,0.6641
1,1,0.6933,0.4392,0.7499,0.4282,coded_tweets-AND-smallerCAP,0.3453,0.445
2,1,0.7373,0.5766,0.7786,0.5909,coded_tweets-AND-smallerCAP,0.5304,0.6203
3,1,0.7235,0.6314,0.7611,0.6429,coded_tweets-AND-smallerCAP,0.5939,0.6669
4,1,0.7458,0.6496,0.7858,0.6658,coded_tweets-AND-smallerCAP,0.6304,0.6948
5,1,0.7611,0.6071,0.8028,0.6061,coded_tweets-AND-smallerCAP,0.5975,0.6588
6,1,0.7611,0.6071,0.8028,0.6061,coded_tweets-AND-smallerCAP,0.5975,0.6588
1,2,0.6965,0.3617,0.7374,0.3278,coded_tweets-AND-smallerCAP,0.2577,0.3471
2,2,0.7542,0.5673,0.7873,0.5515,coded_tweets-AND-smallerCAP,0.4835,0.5888
3,2,0.741,0.6371,0.7653,0.6429,coded_tweets-AND-smallerCAP,0.6017,0.6739
4,2,0.7622,0.6041,0.7965,0.615,coded_tweets-AND-smallerCAP,0.6091,0.6627
5,2,0.7744,0.6155,0.8028,0.6086,coded_tweets-AND-smallerCAP,0.6055,0.6624
