epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
,,,,,,,,
1,1,0.5678,0.1796,0.5292,0.1762,leg_codedtweets,0.0281,0.1264
2,1,0.6258,0.3189,0.575,0.2869,leg_codedtweets,0.0777,0.2455
3,1,0.6525,0.4923,0.5885,0.4303,leg_codedtweets,0.1919,0.4076
4,1,0.6718,0.4644,0.6115,0.4057,leg_codedtweets,0.2156,0.4188
5,1,0.6761,0.4644,0.6333,0.4385,leg_codedtweets,0.2853,0.4744
6,1,0.6941,0.548,0.6458,0.5,leg_codedtweets,0.3496,0.5351
7,1,0.6958,0.5573,0.6531,0.5205,leg_codedtweets,0.3931,0.5645
8,1,0.6958,0.5573,0.6531,0.5205,leg_codedtweets,0.3931,0.5645
1,2,0.526,0.159,0.5062,0.1414,leg_codedtweets,0.014,0.0816
2,2,0.5883,0.2572,0.5781,0.252,leg_codedtweets,0.063,0.2215
3,2,0.6419,0.3584,0.6021,0.3197,leg_codedtweets,0.1457,0.3353
4,2,0.6744,0.4509,0.626,0.4057,leg_codedtweets,0.216,0.4308
5,2,0.67,0.4595,0.6188,0.4119,leg_codedtweets,0.2178,0.4258
6,2,0.7027,0.5434,0.6365,0.4877,leg_codedtweets,0.3185,0.5154
7,2,0.7041,0.5665,0.6427,0.5123,leg_codedtweets,0.3731,0.5455
8,2,0.7041,0.5665,0.6427,0.5123,leg_codedtweets,0.3731,0.5455
9,2,0.7041,0.5665,0.6427,0.5123,leg_codedtweets,0.3731,0.5455
1,3,0.5156,0.1612,0.5062,0.1865,leg_codedtweets,0.0246,0.1152
2,3,0.5736,0.2209,0.5677,0.2459,leg_codedtweets,0.0615,0.2275
3,3,0.5915,0.2985,0.5844,0.3156,leg_codedtweets,0.0913,0.2847
4,3,0.6272,0.3552,0.6083,0.3668,leg_codedtweets,0.1649,0.3689
5,3,0.6525,0.4,0.6292,0.3852,leg_codedtweets,0.2279,0.4195
6,3,0.6822,0.5284,0.6333,0.4857,leg_codedtweets,0.2763,0.4978
7,3,0.6956,0.5343,0.6323,0.457,leg_codedtweets,0.267,0.4855
8,3,0.6956,0.5343,0.6323,0.457,leg_codedtweets,0.267,0.4855
9,3,0.6956,0.5343,0.6323,0.457,leg_codedtweets,0.267,0.4855
10,3,0.6956,0.5343,0.6323,0.457,leg_codedtweets,0.267,0.4855
1,1,0.7981,0.7981,0.3031,0.5656,cap,0.5221,0.5671
2,1,0.8086,0.8087,0.3042,0.5676,cap,0.5218,0.5699
3,1,0.8104,0.8104,0.2948,0.5492,cap,0.5231,0.5508
4,1,0.8125,0.8125,0.2896,0.5389,cap,0.4774,0.541
5,1,0.8139,0.8139,0.2688,0.5287,cap,0.4674,0.5349
1,2,0.7969,0.7969,0.2969,0.5533,cap,0.5342,0.5624
2,2,0.811,0.8109,0.2885,0.5369,cap,0.4961,0.5393
3,2,0.8147,0.8146,0.2854,0.5615,cap,0.523,0.5658
4,2,0.8145,0.8144,0.2885,0.5369,cap,0.5223,0.54
5,2,0.8135,0.8135,0.2719,0.5348,cap,0.4852,0.5343
1,3,0.7982,0.7982,0.2948,0.5492,cap,0.5314,0.5582
2,3,0.8119,0.8119,0.2865,0.5328,cap,0.526,0.5413
3,3,0.815,0.815,0.2802,0.5205,cap,0.5211,0.5318
4,3,0.8144,0.8144,0.2885,0.5369,cap,0.5032,0.5405
5,3,0.8138,0.8138,0.3042,0.5676,cap,0.4958,0.5683
1,1,0.7979,0.7979,0.6042,0.4385,coded_tweets-AND-fullCAP,0.3629,0.4809
2,1,0.8092,0.8092,0.6385,0.541,coded_tweets-AND-fullCAP,0.5208,0.5971
3,1,0.8139,0.814,0.6375,0.5717,coded_tweets-AND-fullCAP,0.5477,0.6194
4,1,0.8111,0.8112,0.6354,0.5697,coded_tweets-AND-fullCAP,0.5314,0.615
5,1,0.8106,0.8106,0.6479,0.5225,coded_tweets-AND-fullCAP,0.5242,0.5882
1,2,0.796,0.7958,0.6229,0.4078,coded_tweets-AND-fullCAP,0.4167,0.5037
2,2,0.8095,0.8094,0.6292,0.4508,coded_tweets-AND-fullCAP,0.4604,0.5262
3,2,0.8119,0.8118,0.6312,0.4857,coded_tweets-AND-fullCAP,0.4625,0.5506
4,2,0.8127,0.8127,0.6427,0.5369,coded_tweets-AND-fullCAP,0.5331,0.5961
5,2,0.8113,0.8112,0.6438,0.4816,coded_tweets-AND-fullCAP,0.4819,0.5583
1,3,0.7979,0.7976,0.6104,0.3709,coded_tweets-AND-fullCAP,0.3886,0.4801
2,3,0.8091,0.809,0.5969,0.4795,coded_tweets-AND-fullCAP,0.4987,0.5456
3,3,0.8128,0.8131,0.6438,0.5758,coded_tweets-AND-fullCAP,0.5445,0.6143
4,3,0.8127,0.8129,0.6333,0.5451,coded_tweets-AND-fullCAP,0.542,0.6004
5,3,0.8123,0.8124,0.6354,0.5123,coded_tweets-AND-fullCAP,0.5103,0.5799
1,1,0.4881,0.3162,0.5708,0.2807,coded_tweets-AND-smallCAP,0.1006,0.2536
2,1,0.6232,0.4959,0.6344,0.373,coded_tweets-AND-smallCAP,0.3057,0.4315
3,1,0.6677,0.5716,0.649,0.4365,coded_tweets-AND-smallCAP,0.3997,0.504
4,1,0.7034,0.6378,0.6625,0.5061,coded_tweets-AND-smallCAP,0.4498,0.5611
5,1,0.7074,0.6432,0.6677,0.5287,coded_tweets-AND-smallCAP,0.5152,0.5931
6,1,0.7035,0.6514,0.676,0.5492,coded_tweets-AND-smallCAP,0.5152,0.6008
7,1,0.696,0.6689,0.6635,0.5779,coded_tweets-AND-smallCAP,0.5385,0.6223
8,1,0.696,0.6689,0.6635,0.5779,coded_tweets-AND-smallCAP,0.5385,0.6223
9,1,0.696,0.6689,0.6635,0.5779,coded_tweets-AND-smallCAP,0.5385,0.6223
1,2,0.4964,0.3112,0.5781,0.2807,coded_tweets-AND-smallCAP,0.0879,0.2537
2,2,0.5983,0.4574,0.6198,0.3648,coded_tweets-AND-smallCAP,0.2579,0.4008
3,2,0.6351,0.5196,0.6354,0.4139,coded_tweets-AND-smallCAP,0.3929,0.4848
4,2,0.6775,0.6143,0.6542,0.5328,coded_tweets-AND-smallCAP,0.4693,0.582
5,2,0.6775,0.6265,0.6635,0.5758,coded_tweets-AND-smallCAP,0.5061,0.6174
6,2,0.6775,0.6319,0.6667,0.5943,coded_tweets-AND-smallCAP,0.5387,0.635
7,2,0.6852,0.6414,0.6688,0.584,coded_tweets-AND-smallCAP,0.5379,0.6297
8,2,0.6852,0.6414,0.6688,0.584,coded_tweets-AND-smallCAP,0.5379,0.6297
1,3,0.5199,0.3722,0.5656,0.3484,coded_tweets-AND-smallCAP,0.1106,0.2796
2,3,0.6173,0.4806,0.6365,0.3852,coded_tweets-AND-smallCAP,0.2671,0.4248
3,3,0.6644,0.5417,0.65,0.4098,coded_tweets-AND-smallCAP,0.3932,0.4888
4,3,0.6928,0.6264,0.6521,0.5102,coded_tweets-AND-smallCAP,0.4751,0.5683
5,3,0.6985,0.6222,0.6552,0.5061,coded_tweets-AND-smallCAP,0.4827,0.5678
6,3,0.691,0.6403,0.651,0.5471,coded_tweets-AND-smallCAP,0.4991,0.5967
7,3,0.7127,0.6667,0.65,0.5492,coded_tweets-AND-smallCAP,0.5171,0.5999
8,3,0.7127,0.6667,0.65,0.5492,coded_tweets-AND-smallCAP,0.5171,0.5999
9,3,0.7127,0.6667,0.65,0.5492,coded_tweets-AND-smallCAP,0.5171,0.5999
1,1,0.4216,0.114,0.5156,0.1107,coded_tweets-AND-smallerCAP,0.0144,0.0837
2,1,0.5787,0.3907,0.6,0.3586,coded_tweets-AND-smallerCAP,0.1689,0.3567
3,1,0.6516,0.5215,0.6417,0.4672,coded_tweets-AND-smallerCAP,0.3598,0.4882
4,1,0.6559,0.5308,0.6542,0.4754,coded_tweets-AND-smallerCAP,0.3908,0.5121
5,1,0.6825,0.5738,0.6562,0.4857,coded_tweets-AND-smallerCAP,0.4647,0.5414
6,1,0.6768,0.6056,0.6573,0.5471,coded_tweets-AND-smallerCAP,0.5054,0.5877
7,1,0.6791,0.6168,0.6531,0.5574,coded_tweets-AND-smallerCAP,0.5091,0.6047
8,1,0.6791,0.6168,0.6531,0.5574,coded_tweets-AND-smallerCAP,0.5091,0.6047
9,1,0.6791,0.6168,0.6531,0.5574,coded_tweets-AND-smallerCAP,0.5091,0.6047
1,2,0.4013,0.184,0.4479,0.2008,coded_tweets-AND-smallerCAP,0.0165,0.0959
2,2,0.5635,0.3494,0.5802,0.2807,coded_tweets-AND-smallerCAP,0.1279,0.2834
3,2,0.6356,0.4758,0.6333,0.4119,coded_tweets-AND-smallerCAP,0.3276,0.4567
4,2,0.6556,0.5558,0.6396,0.5266,coded_tweets-AND-smallerCAP,0.48,0.5634
5,2,0.6634,0.513,0.6646,0.4693,coded_tweets-AND-smallerCAP,0.4446,0.5322
6,2,0.6591,0.5595,0.6615,0.5451,coded_tweets-AND-smallerCAP,0.5259,0.5966
7,2,0.6645,0.5781,0.6573,0.5574,coded_tweets-AND-smallerCAP,0.5367,0.6032
8,2,0.6645,0.5781,0.6573,0.5574,coded_tweets-AND-smallerCAP,0.5367,0.6032
1,3,0.4931,0.2739,0.5396,0.2664,coded_tweets-AND-smallerCAP,0.0713,0.2029
2,3,0.5574,0.3246,0.5917,0.2746,coded_tweets-AND-smallerCAP,0.1254,0.2849
3,3,0.6566,0.5159,0.6479,0.4549,coded_tweets-AND-smallerCAP,0.3079,0.4828
4,3,0.6901,0.561,0.6583,0.4754,coded_tweets-AND-smallerCAP,0.4299,0.5366
5,3,0.6997,0.6116,0.6802,0.5553,coded_tweets-AND-smallerCAP,0.4988,0.5956
6,3,0.6716,0.6191,0.6562,0.5779,coded_tweets-AND-smallerCAP,0.5009,0.605
7,3,0.6931,0.6229,0.6698,0.5799,coded_tweets-AND-smallerCAP,0.5081,0.6185
8,3,0.6931,0.6229,0.6698,0.5799,coded_tweets-AND-smallerCAP,0.5081,0.6185
9,3,0.6931,0.6229,0.6698,0.5799,coded_tweets-AND-smallerCAP,0.5081,0.6185
1,1,0.8153,0.8156,0.6406,0.4939,coded_tweets-AND-ar,0.5226,0.5738
2,1,0.8401,0.842,0.6427,0.5061,coded_tweets-AND-ar,0.499,0.5682
3,1,0.8368,0.8375,0.6188,0.4324,coded_tweets-AND-ar,0.4579,0.5335
4,1,0.8447,0.8463,0.6573,0.5225,coded_tweets-AND-ar,0.5284,0.5996
5,1,0.8519,0.855,0.6521,0.5902,coded_tweets-AND-ar,0.5563,0.6436
1,2,0.8213,0.8208,0.6292,0.4324,coded_tweets-AND-ar,0.4725,0.5146
2,2,0.8395,0.8403,0.6354,0.498,coded_tweets-AND-ar,0.4959,0.5709
3,2,0.837,0.8372,0.6521,0.502,coded_tweets-AND-ar,0.5058,0.5792
4,2,0.8472,0.8479,0.6458,0.4877,coded_tweets-AND-ar,0.5177,0.5752
5,2,0.8498,0.8512,0.6542,0.5225,coded_tweets-AND-ar,0.5446,0.5904
1,3,0.8182,0.818,0.6427,0.498,coded_tweets-AND-ar,0.4991,0.5681
2,3,0.8422,0.8422,0.6438,0.4754,coded_tweets-AND-ar,0.4895,0.5542
3,3,0.8511,0.8521,0.6646,0.5451,coded_tweets-AND-ar,0.5562,0.6171
4,3,0.8527,0.8552,0.6448,0.5881,coded_tweets-AND-ar,0.5546,0.6384
5,3,0.8568,0.8583,0.6542,0.5574,coded_tweets-AND-ar,0.5524,0.6196
1,1,0.453,0.2568,0.5552,0.2213,coded_tweets-AND-small-ar,0.0658,0.2015
2,1,0.5759,0.4541,0.6198,0.3955,coded_tweets-AND-small-ar,0.2069,0.399
3,1,0.6205,0.5162,0.6531,0.4426,coded_tweets-AND-small-ar,0.2991,0.4898
4,1,0.6771,0.5919,0.6698,0.5102,coded_tweets-AND-small-ar,0.4157,0.5613
5,1,0.6839,0.6108,0.6771,0.541,coded_tweets-AND-small-ar,0.4677,0.6004
6,1,0.681,0.627,0.6604,0.5574,coded_tweets-AND-small-ar,0.4748,0.6101
7,1,0.6781,0.6324,0.674,0.5799,coded_tweets-AND-small-ar,0.4952,0.6225
8,1,0.6781,0.6324,0.674,0.5799,coded_tweets-AND-small-ar,0.4952,0.6225
9,1,0.6781,0.6324,0.674,0.5799,coded_tweets-AND-small-ar,0.4952,0.6225
1,2,0.3868,0.1407,0.5229,0.1107,coded_tweets-AND-small-ar,0.0513,0.1404
2,2,0.5984,0.4641,0.6198,0.3648,coded_tweets-AND-small-ar,0.2318,0.41
3,2,0.6589,0.6049,0.6438,0.5266,coded_tweets-AND-small-ar,0.4108,0.5607
4,2,0.6648,0.6103,0.6688,0.543,coded_tweets-AND-small-ar,0.4556,0.5874
5,2,0.6771,0.6225,0.6656,0.5307,coded_tweets-AND-small-ar,0.4408,0.5762
6,2,0.6764,0.6306,0.6635,0.5512,coded_tweets-AND-small-ar,0.4605,0.5956
1,3,0.3949,0.1597,0.5302,0.2029,coded_tweets-AND-small-ar,0.0502,0.1589
