epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
,,,,,,,,
1,1,0.4589,0.2141,0.4281,0.2139,leg_codedtweets,0.0169,0.095
2,1,0.4886,0.2748,0.4958,0.2851,leg_codedtweets,0.0412,0.189
3,1,0.6121,0.3099,0.6021,0.3248,leg_codedtweets,0.0741,0.2565
4,1,0.6508,0.3578,0.6552,0.3881,leg_codedtweets,0.1575,0.3902
5,1,0.6924,0.4824,0.6823,0.4772,leg_codedtweets,0.2515,0.4879
6,1,0.6864,0.5623,0.6885,0.5505,leg_codedtweets,0.3162,0.5482
7,1,0.7132,0.5719,0.6948,0.5386,leg_codedtweets,0.3202,0.5523
8,1,0.7132,0.5719,0.6948,0.5386,leg_codedtweets,0.3202,0.5523
9,1,0.7132,0.5719,0.6948,0.5386,leg_codedtweets,0.3202,0.5523
10,1,0.7132,0.5719,0.6948,0.5386,leg_codedtweets,0.3202,0.5523
1,2,0.4889,0.197,0.4885,0.204,leg_codedtweets,0.0168,0.0943
2,2,0.5885,0.2576,0.5885,0.2693,leg_codedtweets,0.0685,0.2354
3,2,0.6136,0.2727,0.6292,0.3287,leg_codedtweets,0.1194,0.3197
4,2,0.6389,0.3333,0.6635,0.3941,leg_codedtweets,0.1675,0.4084
5,2,0.6494,0.3545,0.676,0.4238,leg_codedtweets,0.2387,0.4592
6,2,0.6867,0.497,0.6958,0.5307,leg_codedtweets,0.3524,0.5564
7,2,0.697,0.5515,0.6854,0.5485,leg_codedtweets,0.3623,0.565
8,2,0.697,0.5515,0.6854,0.5485,leg_codedtweets,0.3623,0.565
9,2,0.697,0.5515,0.6854,0.5485,leg_codedtweets,0.3623,0.565
1,3,0.4962,0.1489,0.4479,0.1248,leg_codedtweets,0.0112,0.0631
2,3,0.5482,0.3333,0.5385,0.3465,leg_codedtweets,0.077,0.2886
3,3,0.6864,0.4466,0.6521,0.4317,leg_codedtweets,0.1777,0.4243
4,3,0.6895,0.3916,0.6354,0.3366,leg_codedtweets,0.1935,0.3884
5,3,0.7236,0.5275,0.6948,0.505,leg_codedtweets,0.3349,0.5509
6,3,0.716,0.5696,0.6979,0.5505,leg_codedtweets,0.372,0.5868
7,3,0.725,0.6084,0.7042,0.5743,leg_codedtweets,0.4202,0.6098
1,1,0.7787,0.7787,0.3292,0.596,cap,0.5079,0.592
2,1,0.7946,0.7946,0.3167,0.602,cap,0.5327,0.611
3,1,0.8072,0.8073,0.3042,0.5782,cap,0.4945,0.5846
4,1,0.8123,0.8124,0.3094,0.5881,cap,0.5292,0.5888
5,1,0.8149,0.815,0.3083,0.5861,cap,0.5169,0.5896
6,1,0.8169,0.8169,0.3031,0.5762,cap,0.5176,0.5775
