fold,macro_test,policy_test,macro_val,policy_val,dataset,epoch,policy_val_f1macro,policy_val_f1weighted
,,,,,,,,
1,,,0.5495,0.1865,leg_codedtweets,,0.1167,0.2625
2,,,0.5376,0.1557,leg_codedtweets,,0.1049,0.2246
3,,,0.5387,0.1598,leg_codedtweets,,0.0876,0.2162
1,,,0.2398,0.457,cap,,0.4217,0.4699
2,,,0.229,0.4365,cap,,0.4121,0.4508
3,,,0.2215,0.4221,cap,,0.4169,0.4385
1,,,0.4086,0.3381,coded_tweets-AND-fullCAP,,0.3489,0.4011
2,,,0.4333,0.3668,coded_tweets-AND-fullCAP,,0.3715,0.4325
3,,,0.4376,0.3648,coded_tweets-AND-fullCAP,,0.3674,0.4276
1,,,0.5613,0.2193,coded_tweets-AND-smallCAP,,0.2419,0.3059
2,,,0.5667,0.2254,coded_tweets-AND-smallCAP,,0.2509,0.3105
3,,,0.5613,0.2131,coded_tweets-AND-smallCAP,,0.2427,0.2911
1,,,0.5753,0.2295,coded_tweets-AND-smallerCAP,,0.224,0.3135
2,,,0.5667,0.2193,coded_tweets-AND-smallerCAP,,0.2155,0.3066
3,,,0.5634,0.2152,coded_tweets-AND-smallerCAP,,0.222,0.2977
1,,,0.5054,0.457,coded_tweets-AND-ar,,0.4596,0.4863
2,,,0.4849,0.4672,coded_tweets-AND-ar,,0.4518,0.4979
3,,,0.4957,0.4631,coded_tweets-AND-ar,,0.4646,0.4965
1,,,0.5731,0.2459,coded_tweets-AND-small-ar,,0.2082,0.3181
2,,,0.5828,0.2623,coded_tweets-AND-small-ar,,0.2235,0.3479
3,,,0.5849,0.2582,coded_tweets-AND-small-ar,,0.2094,0.3288
1,,,0.571,0.2295,coded_tweets-AND-smaller-ar,,0.1638,0.3064
2,,,0.5548,0.209,coded_tweets-AND-smaller-ar,,0.1446,0.2812
3,,,0.5624,0.2213,coded_tweets-AND-smaller-ar,,0.1672,0.2964
1,,,0.6011,0.377,coded_tweets-AND-other-coded-tweets,,0.4195,0.4665
2,,,0.6011,0.3811,coded_tweets-AND-other-coded-tweets,,0.4176,0.4706
3,,,0.5839,0.3525,coded_tweets-AND-other-coded-tweets,,0.3973,0.4384
