state,party,day,stateleg_mentions,stateleg_mentions_dem,stateleg_mentions_rep,stateleg_mentions_dem_samestate,stateleg_mentions_rep_samestate,stateleg_mentions_samestate,stateleg_mentions_samestate_sameparty
FL,republican,2018-05-23,21,2,19,0,13,13,13
FL,republican,2018-04-20,9,2,7,0,4,4,4
FL,republican,2018-05-05,10,2,8,0,8,8,8
FL,republican,2018-12-07,16,0,16,0,14,14,14
FL,republican,2018-09-29,11,0,11,0,11,11,11
FL,republican,2018-11-04,23,1,22,1,20,21,20
FL,republican,2018-12-19,20,10,10,0,9,9,9
FL,republican,2018-12-03,10,0,10,0,10,10,10
FL,republican,2018-08-22,4,0,4,0,4,4,4
FL,republican,2018-01-05,10,2,8,0,8,8,8
FL,republican,2018-01-25,12,0,12,0,11,11,11
FL,republican,2018-02-04,7,0,7,0,7,7,7
FL,republican,2018-02-10,14,3,11,0,9,9,9
FL,republican,2018-04-21,5,1,4,0,4,4,4
FL,republican,2018-05-10,12,4,8,0,5,5,5
FL,republican,2018-01-13,14,2,12,0,11,11,11
FL,republican,2018-06-04,6,1,5,0,4,4,4
FL,republican,2018-06-30,9,0,9,0,7,7,7
FL,republican,2018-07-07,7,2,5,2,5,7,5
FL,republican,2018-11-06,14,0,14,0,11,11,11
FL,republican,2018-10-13,5,0,5,0,5,5,5
FL,republican,2018-08-15,9,0,9,0,6,6,6
FL,republican,2018-08-11,5,0,5,0,5,5,5
FL,republican,2018-06-28,1,0,1,0,1,1,1
FL,republican,2018-01-18,14,4,10,1,10,11,10
FL,republican,2018-06-08,4,1,3,0,2,2,2
FL,republican,2018-06-26,3,0,3,0,3,3,3
FL,republican,2018-01-07,7,1,6,0,6,6,6
FL,republican,2018-08-12,5,1,4,0,4,4,4
FL,republican,2018-01-26,9,0,9,0,8,8,8
FL,republican,2018-05-14,5,1,4,0,2,2,2
FL,republican,2018-05-08,14,2,12,0,12,12,12
FL,republican,2018-03-12,8,1,7,0,7,7,7
FL,republican,2018-06-09,2,0,2,0,2,2,2
FL,republican,2018-05-06,5,1,5,1,5,6,5
FL,republican,2018-09-22,2,0,2,0,2,2,2
FL,republican,2018-10-11,8,0,8,0,7,7,7
FL,republican,2018-06-21,1,0,1,0,1,1,1
FL,republican,2018-04-30,7,1,6,0,3,3,3
FL,republican,2018-08-05,5,0,5,0,5,5,5
FL,republican,2018-03-03,18,1,17,1,16,17,16
FL,republican,2018-05-28,2,0,2,0,2,2,2
FL,republican,2018-01-31,53,25,28,16,27,43,27
FL,republican,2018-05-01,7,1,6,0,5,5,5
FL,republican,2018-03-10,31,2,29,0,29,29,29
FL,republican,2018-07-06,6,1,5,1,5,6,5
FL,republican,2018-06-05,10,1,9,0,7,7,7
FL,republican,2018-10-06,10,0,10,0,10,10,10
FL,republican,2018-06-11,3,0,3,0,3,3,3
FL,republican,2018-07-05,5,0,5,0,5,5,5
FL,republican,2018-12-05,11,4,7,0,3,3,3
FL,republican,2018-01-19,10,1,9,0,9,9,9
FL,republican,2018-08-14,2,0,2,0,1,1,1
FL,republican,2018-09-18,6,0,6,0,4,4,4
FL,republican,2018-12-24,3,0,3,0,2,2,2
FL,republican,2018-11-24,0,0,0,0,0,0,0
FL,republican,2018-10-24,15,0,15,0,14,14,14
FL,republican,2018-12-29,6,4,2,0,2,2,2
FL,republican,2018-04-15,9,2,7,1,3,4,3
FL,republican,2018-03-07,34,3,31,1,29,30,29
FL,republican,2018-02-24,7,1,6,0,5,5,5
FL,republican,2018-10-04,16,0,16,0,15,15,15
FL,republican,2018-07-03,2,0,2,0,2,2,2
FL,republican,2018-06-24,0,0,0,0,0,0,0
FL,republican,2018-09-23,2,0,2,0,2,2,2
FL,republican,2018-06-01,7,2,5,0,5,5,5
FL,republican,2018-02-23,13,1,12,0,11,11,11
FL,republican,2018-06-06,2,0,2,0,2,2,2
FL,republican,2018-04-01,6,1,5,0,4,4,4
FL,republican,2018-05-23,21,2,19,0,13,13,13
FL,republican,2018-04-20,9,2,7,0,4,4,4
FL,republican,2018-05-05,10,2,8,0,8,8,8
FL,republican,2018-12-07,16,0,16,0,14,14,14
FL,republican,2018-09-29,11,0,11,0,11,11,11
FL,republican,2018-11-04,23,1,22,1,20,21,20
FL,republican,2018-12-19,20,10,10,0,9,9,9
FL,republican,2018-12-03,10,0,10,0,10,10,10
FL,republican,2018-08-22,4,0,4,0,4,4,4
FL,republican,2018-01-05,10,2,8,0,8,8,8
FL,republican,2018-01-25,12,0,12,0,11,11,11
FL,republican,2018-02-04,7,0,7,0,7,7,7
FL,republican,2018-02-10,14,3,11,0,9,9,9
FL,republican,2018-04-21,5,1,4,0,4,4,4
FL,republican,2018-05-10,12,4,8,0,5,5,5
FL,republican,2018-01-13,14,2,12,0,11,11,11
FL,republican,2018-06-04,6,1,5,0,4,4,4
FL,republican,2018-06-30,9,0,9,0,7,7,7
FL,republican,2018-07-07,7,2,5,2,5,7,5
FL,republican,2018-11-06,14,0,14,0,11,11,11
FL,republican,2018-10-13,5,0,5,0,5,5,5
FL,republican,2018-08-15,9,0,9,0,6,6,6
FL,republican,2018-08-11,5,0,5,0,5,5,5
FL,republican,2018-06-28,1,0,1,0,1,1,1
FL,republican,2018-01-18,14,4,10,1,10,11,10
FL,republican,2018-06-08,4,1,3,0,2,2,2
FL,republican,2018-06-26,3,0,3,0,3,3,3
FL,republican,2018-01-07,7,1,6,0,6,6,6
FL,republican,2018-08-12,5,1,4,0,4,4,4
FL,republican,2018-01-26,9,0,9,0,8,8,8
FL,republican,2018-05-14,5,1,4,0,2,2,2
FL,republican,2018-05-08,14,2,12,0,12,12,12
FL,republican,2018-03-12,8,1,7,0,7,7,7
FL,republican,2018-06-09,2,0,2,0,2,2,2
FL,republican,2018-05-06,5,1,5,1,5,6,5
FL,republican,2018-09-22,2,0,2,0,2,2,2
FL,republican,2018-10-11,8,0,8,0,7,7,7
FL,republican,2018-06-21,1,0,1,0,1,1,1
FL,republican,2018-04-30,7,1,6,0,3,3,3
FL,republican,2018-08-05,5,0,5,0,5,5,5
FL,republican,2018-03-03,18,1,17,1,16,17,16
FL,republican,2018-05-28,2,0,2,0,2,2,2
FL,republican,2018-01-31,53,25,28,16,27,43,27
FL,republican,2018-05-01,7,1,6,0,5,5,5
FL,republican,2018-03-10,31,2,29,0,29,29,29
FL,republican,2018-07-06,6,1,5,1,5,6,5
FL,republican,2018-06-05,10,1,9,0,7,7,7
FL,republican,2018-10-06,10,0,10,0,10,10,10
FL,republican,2018-06-11,3,0,3,0,3,3,3
FL,republican,2018-07-05,5,0,5,0,5,5,5
FL,republican,2018-12-05,11,4,7,0,3,3,3
FL,republican,2018-01-19,10,1,9,0,9,9,9
FL,republican,2018-08-14,2,0,2,0,1,1,1
FL,republican,2018-09-18,6,0,6,0,4,4,4
FL,republican,2018-12-24,3,0,3,0,2,2,2
FL,republican,2018-11-24,0,0,0,0,0,0,0
FL,republican,2018-10-24,15,0,15,0,14,14,14
FL,republican,2018-12-29,6,4,2,0,2,2,2
FL,republican,2018-04-15,9,2,7,1,3,4,3
FL,republican,2018-03-07,34,3,31,1,29,30,29
FL,republican,2018-02-24,7,1,6,0,5,5,5
FL,republican,2018-10-04,16,0,16,0,15,15,15
FL,republican,2018-07-03,2,0,2,0,2,2,2
FL,republican,2018-06-24,0,0,0,0,0,0,0
FL,republican,2018-09-23,2,0,2,0,2,2,2
FL,republican,2018-06-01,7,2,5,0,5,5,5
FL,republican,2018-02-23,13,1,12,0,11,11,11
FL,republican,2018-06-06,2,0,2,0,2,2,2
FL,republican,2018-04-01,6,1,5,0,4,4,4
FL,republican,2018-07-28,7,0,7,0,6,6,6
FL,republican,2018-04-24,14,3,11,0,9,9,9
FL,republican,2018-09-15,4,0,4,0,2,2,2
FL,republican,2018-04-14,7,0,7,0,6,6,6
FL,republican,2018-12-31,5,1,4,1,2,3,2
FL,republican,2018-11-10,40,0,40,0,39,39,39
FL,republican,2018-06-12,1,0,1,0,1,1,1
FL,republican,2018-09-10,0,0,0,0,0,0,0
