"user_id","user_party","user_state","followed_mcs","followed_mcs_dem","followed_mcs_rep","followed_mcs_dem_n","followed_mcs_rep_n","followed_mcs_sameparty_n","followed_mcs_samestate_n","followed_mcs_samestate_dem_n","followed_mcs_samestate_rep_n","followed_mcs_samestate_sameparty_n","followed_natmedia","followed_natmedia_n","followed_statemedia","followed_statemedia_n","followed_statemedia_samestate","followed_statemedia_samestate_n","followed_partisans_n","followed_partisans_sameparty_n"
"23546469","democrat","MA","75785294;242426145;442824717;310310133;232992031;21406834;242892689;1055907624;970207298","75785294;242426145;442824717;310310133;232992031;21406834;242892689;1055907624;970207298","","9","0","9","9","9","0","9","","0","95431448;2488541;16684965;32478637","4","16684965;2488541;95431448","3","341","340"
"72360510","republican","OH","313719282;814179031956488192;816298918468259841;4624539143;803694179079458816;193441812;51228911;815733290955112448;2337241560;18915145;2612307559;26637348;771152516;950783972;5511752","814179031956488192;816298918468259841;803694179079458816;193441812;815733290955112448;26637348;771152516;950783972","313719282;4624539143;51228911;18915145;2612307559;2337241560;5511752","8","7","7","6","0","6","6","","0","15627208;73179801","2","15627208;73179801","2","425","421"
"3956570123","democrat","NY","72198806;29442313;357606935;17494010;216776631","72198806;357606935;17494010","","3","0","3","2","2","0","2","759251;14511951;51241574","3","14677919;14676527;807095;16141413","4","14677919;14676527;807095;16141413","4","50","47"
"492334178","republican","UT","18170310","","18170310","0","1","1","1","0","1","1","","0","","0","","0","2","2"
"894689892134944768","republican","VA","","","","0","0","0","0","0","0","0","","0","23764675;14527393","2","23764675;14527393","2","32","12"
"36957404","democrat","NY","40302336;1872999342;467823431;182217410;33563161;164007407;17494010;817076257770835968;111635980;119250381;164369297;29450962;36948268;258900199;1055907624","40302336;1872999342;467823431;182217410;33563161;164007407;17494010;817076257770835968;111635980;119250381;164369297;29450962;36948268;258900199;1055907624","","15","0","15","12","12","0","12","759251","1","27863115;16664681;8862532;807095;17469289;11988052","6","27863115;8862532;807095;17469289;11988052","5","311","310"
"4581302902","republican","OH","18915145;59536644;51228911","","18915145;59536644;51228911","0","3","3","3","0","3","3","","0","109469773","1","109469773","1","126","125"
"1506015248","republican","MA","733751245;296361085","","733751245;296361085","0","2","2","0","0","0","0","759251","1","16684965;2488541;807095;95431448","4","16684965;2488541;95431448","3","50","44"
"43117323","democrat","VA","2319503065;15356407;323293114;2962868158;7429102;172858784;409719505;37481291;459051498;78445977","2319503065;2962868158;7429102;172858784;409719505;459051498;78445977","37481291;323293114;15356407","7","3","7","10","7","3","7","","0","17136814;24296023;19664134;8756502;16534226","5","17136814;24296023;19664134;8756502;16534226","5","432","420"
"86392440","republican","TX","743601590;23022687;97171189;23976316;15856366;93443168;13218102;19929362;237312687;12726012;26424123;18030431","","743601590;23022687;97171189;23976316;15856366;93443168;13218102;19929362;237312687;12726012;26424123;18030431","0","12","12","12","0","12","12","1367531","1","16365305;15342142;5692542;26937936;24942387;44513878","6","16365305;15342142;5692542;26937936;24942387;44513878","6","177","165"
"431049342","republican","OH","109579534;211530910;211420609;59536644;2612307559;1074480192;18916432;237348797;23022687;51228911;18915145;976969338;18166778;236916916;237750442;13491312;2337241560;963480595;234822928;733751245;727242919;15394954;17976923;216881337;15745368","13491312","109579534;211530910;211420609;59536644;2612307559;1074480192;18916432;237348797;23022687;51228911;18915145;976969338;18166778;236916916;237750442;2337241560;963480595;234822928;733751245;727242919;15394954;17976923;216881337;15745368","1","24","24","15","1","14","14","1367531","1","314550535;19040246;14334312;14076171;24878216;1728939649;18639958;10685542;40561493","9","314550535;19040246;14334312;14076171;24878216;1728939649;18639958;10685542;40561493","9","320","308"
